Plant_Code,Site,Bee_Count,Treatment_Code,Mold,Insecticide,Sugar,Paint,julDate,julWeek,Month,Day,Time,min_day,hour_day,Temp_F,Wind_mph,Conditions,Barometric,Humidity
A01,A,0,51,1,0,0,0,55,8,Feb,24,12:12:00 PM,732,12,75,2,Full Sun,28,24
A02,A,1,51,1,0,0,0,55,8,Feb,24,11:14:00 AM,674,11,73,1,Full Sun,28,29
A03,A,6,51,1,0,0,0,55,8,Feb,24,11:13:00 AM,673,11,72,1,Full Sun,28,27
A04,A,0,52,1,1,0,0,55,8,Feb,24,11:34:00 AM,694,11,73,1,Full Sun,28,29
A05,A,1,52,1,1,0,0,55,8,Feb,24,10:50:00 AM,650,10,72,1,Full Sun,28,27
A06,A,1,52,1,1,0,0,55,8,Feb,24,12:41:00 PM,761,12,75,2,Full Sun,28,24
A07,A,0,53,0,0,0,0,55,8,Feb,24,11:57:00 AM,717,11,73,1,Full Sun,28,25
A08,A,0,53,0,0,0,0,55,8,Feb,24,12:26:00 PM,746,12,75,2,Full Sun,28,24
A09,A,0,53,0,0,0,0,55,8,Feb,24,10:33:00 AM,633,10,72,1,Full Sun,28,27
A10,A,0,54,0,1,0,0,55,8,Feb,24,10:59:00 AM,659,10,72,1,Full Sun,28,27
A11,A,1,54,0,1,0,0,55,8,Feb,24,12:07:00 PM,727,12,73,1,Full Sun,28,25
A12,A,0,54,0,1,0,0,55,8,Feb,24,12:34:00 PM,754,12,75,2,Full Sun,28,24
A13,A,0,55,0,0,0,1,55,8,Feb,24,11:03:00 AM,663,11,72,1,Full Sun,28,27
A14,A,1,55,0,0,0,1,55,8,Feb,24,11:25:00 AM,685,11,73,1,Full Sun,28,29
A15,A,0,55,0,0,0,1,55,8,Feb,24,1:05:00 PM,785,13,75,2,Full Sun,28,24
A16,A,0,56,0,0,1,0,55,8,Feb,24,11:48:00 AM,708,11,73,1,Full Sun,28,25
A17,A,6,56,0,0,1,0,55,8,Feb,24,11:48:00 AM,708,11,73,1,Full Sun,28,25
A18,A,0,56,0,0,1,0,55,8,Feb,24,10:33:00 AM,633,10,72,1,Full Sun,28,27
A19,A,0,57,0,0,1,1,55,8,Feb,24,12:58:00 PM,778,12,75,2,Full Sun,28,24
A20,A,1,57,0,0,1,1,55,8,Feb,24,12:22:00 PM,742,12,75,2,Full Sun,28,24
A21,A,0,57,0,0,1,1,55,8,Feb,24,11:39:00 AM,699,11,73,1,Full Sun,28,25
C01,C,0,51,1,0,0,0,69,10,Mar,9,11:42:00 AM,702,11,78,1,Full Sun,29,16
C01,C,0,51,1,0,0,0,69,10,Mar,9,2:11:00 PM,851,14,81,1,Full Sun,29,13
C02,C,1,51,1,0,0,0,69,10,Mar,9,1:19:00 PM,799,13,78,2,Full Sun,29,12
C02,C,0,51,1,0,0,0,69,10,Mar,9,11:13:00 AM,673,11,71,2,Full Sun,29,16
C03,C,2,51,1,0,0,0,69,10,Mar,9,1:31:00 PM,811,13,78,2,Full Sun,29,12
C03,C,2,51,1,0,0,0,69,10,Mar,9,10:10:00 AM,610,10,72,1,Full Sun,29,17
C04,C,0,52,1,1,0,0,69,10,Mar,9,1:52:00 PM,832,13,81,1,Full Sun,29,13
C04,C,0,52,1,1,0,0,69,10,Mar,9,10:56:00 AM,656,10,71,2,Full Sun,29,16
C05,C,0,52,1,1,0,0,69,10,Mar,9,1:15:00 PM,795,13,78,2,Full Sun,29,12
C05,C,0,52,1,1,0,0,69,10,Mar,9,11:29:00 AM,689,11,78,1,Full Sun,29,16
C06,C,0,52,1,1,0,0,69,10,Mar,9,10:35:00 AM,635,10,72,1,Full Sun,29,17
C06,C,0,52,1,1,0,0,69,10,Mar,9,2:10:00 PM,850,14,81,1,Full Sun,29,13
C07,C,0,53,0,0,0,0,69,10,Mar,9,11:21:00 AM,681,11,78,1,Full Sun,29,16
C07,C,0,53,0,0,0,0,69,10,Mar,9,2:20:00 PM,860,14,81,1,Full Sun,29,13
C08,C,0,53,0,0,0,0,69,10,Mar,9,1:13:00 PM,793,13,78,2,Full Sun,29,12
C08,C,0,53,0,0,0,0,69,10,Mar,9,11:20:00 AM,680,11,78,1,Full Sun,29,16
C09,C,0,53,0,0,0,0,69,10,Mar,9,11:51:00 AM,711,11,78,2,Full Sun,29,13
C09,C,0,53,0,0,0,0,69,10,Mar,9,2:38:00 PM,878,14,81,1,Full Sun,29,13
C10,C,0,54,0,1,0,0,69,10,Mar,9,1:38:00 PM,818,13,81,1,Full Sun,29,13
C10,C,0,54,0,1,0,0,69,10,Mar,9,10:31:00 AM,631,10,72,1,Full Sun,29,17
C11,C,0,54,0,1,0,0,69,10,Mar,9,1:28:00 PM,808,13,78,2,Full Sun,29,12
C11,C,0,54,0,1,0,0,69,10,Mar,9,10:47:00 AM,647,10,71,2,Full Sun,29,16
C12,C,1,54,0,1,0,0,69,10,Mar,9,10:54:00 AM,654,10,71,2,Full Sun,29,16
C12,C,0,54,0,1,0,0,69,10,Mar,9,2:00:00 PM,840,14,81,1,Full Sun,29,13
C13,C,0,55,0,0,0,1,69,10,Mar,9,10:26:00 AM,626,10,72,1,Full Sun,29,17
C13,C,0,55,0,0,0,1,69,10,Mar,9,2:04:00 PM,844,14,81,1,Full Sun,29,13
C14,C,0,55,0,0,0,1,69,10,Mar,9,10:19:00 AM,619,10,72,1,Full Sun,29,17
C14,C,0,55,0,0,0,1,69,10,Mar,9,2:30:00 PM,870,14,81,1,Full Sun,29,13
C15,C,0,55,0,0,0,1,69,10,Mar,9,1:56:00 PM,836,13,81,1,Full Sun,29,13
C15,C,0,55,0,0,0,1,69,10,Mar,9,10:12:00 AM,612,10,72,1,Full Sun,29,17
C16,C,0,56,0,0,1,0,69,10,Mar,9,1:23:00 PM,803,13,78,2,Full Sun,29,12
C16,C,0,56,0,0,1,0,69,10,Mar,9,11:06:00 AM,666,11,71,2,Full Sun,29,16
C17,C,2,56,0,0,1,0,69,10,Mar,9,10:43:00 AM,643,10,72,1,Full Sun,29,17
C17,C,3,56,0,0,1,0,69,10,Mar,9,2:20:00 PM,860,14,81,1,Full Sun,29,13
C18,C,0,56,0,0,1,0,69,10,Mar,9,10:25:00 AM,625,10,72,1,Full Sun,29,17
C18,C,3,56,0,0,1,0,69,10,Mar,9,2:39:00 PM,879,14,81,1,Full Sun,29,13
C19,C,1,57,0,0,1,1,69,10,Mar,9,11:31:00 AM,691,11,78,1,Full Sun,29,16
C19,C,0,57,0,0,1,1,69,10,Mar,9,2:28:00 PM,868,14,81,1,Full Sun,29,13
C20,C,1,57,0,0,1,1,69,10,Mar,9,1:44:00 PM,824,13,81,1,Full Sun,29,13
C20,C,2,57,0,0,1,1,69,10,Mar,9,11:04:00 AM,664,11,71,2,Full Sun,29,16
C21,C,1,57,0,0,1,1,69,10,Mar,9,1:45:00 PM,825,13,81,1,Full Sun,29,13
C21,C,0,57,0,0,1,1,69,10,Mar,9,11:36:00 AM,696,11,78,1,Full Sun,29,16
B01,B,0,51,1,0,0,0,75,11,Mar,15,12:22:00 PM,742,12,66,1,Cloudy (some shadow cast),29,48
B01,B,1,51,1,0,0,0,75,11,Mar,15,3:15:00 PM,915,15,69,1,Completly Cloudy (no Shadow),29,49
B02,B,2,51,1,0,0,0,75,11,Mar,15,12:35:00 PM,755,12,72,1,Cloudy (some shadow cast),29,45
B02,B,2,51,1,0,0,0,75,11,Mar,15,2:32:00 PM,872,14,72,0,Completly Cloudy (no Shadow),29,44
B03,B,0,51,1,0,0,0,75,11,Mar,15,12:25:00 PM,745,12,66,1,Cloudy (some shadow cast),29,48
B03,B,1,51,1,0,0,0,75,11,Mar,15,3:07:00 PM,907,15,69,1,Completly Cloudy (no Shadow),29,49
B04,B,0,52,1,1,0,0,75,11,Mar,15,11:07:00 AM,667,11,64,0,Partly Cloudy (>50% sun),29,63
B04,B,0,52,1,1,0,0,75,11,Mar,15,3:35:00 PM,935,15,74,1,Cloudy (some shadow cast),29,45
B05,B,0,52,1,1,0,0,75,11,Mar,15,12:05:00 PM,725,12,71,1,Partly Cloudy (>50% sun),29,48
B05,B,0,52,1,1,0,0,75,11,Mar,15,3:36:00 PM,936,15,74,1,Cloudy (some shadow cast),29,45
B06,B,1,52,1,1,0,0,75,11,Mar,15,10:52:00 AM,652,10,64,0,Partly Cloudy (>50% sun),29,63
B06,B,0,52,1,1,0,0,75,11,Mar,15,3:00:00 PM,900,15,69,1,Completly Cloudy (no Shadow),29,49
B07,B,2,53,0,0,0,0,75,11,Mar,15,11:56:00 AM,716,11,71,1,Partly Cloudy (>50% sun),29,48
B07,B,0,53,0,0,0,0,75,11,Mar,15,3:42:00 PM,942,15,74,1,Cloudy (some shadow cast),29,45
B08,B,0,53,0,0,0,0,75,11,Mar,15,11:26:00 AM,686,11,71,1,Partly Cloudy (>50% sun),29,48
B08,B,1,53,0,0,0,0,75,11,Mar,15,3:25:00 PM,925,15,74,1,Cloudy (some shadow cast),29,45
B09,B,0,53,0,0,0,0,75,11,Mar,15,11:40:00 AM,700,11,71,1,Partly Cloudy (>50% sun),29,48
B09,B,0,53,0,0,0,0,75,11,Mar,15,2:17:00 PM,857,14,72,0,Completly Cloudy (no Shadow),29,44
B10,B,1,54,0,1,0,0,75,11,Mar,15,10:57:00 AM,657,10,64,0,Partly Cloudy (>50% sun),29,63
B10,B,0,54,0,1,0,0,75,11,Mar,15,2:54:00 PM,894,14,69,1,Completly Cloudy (no Shadow),29,49
B11,B,0,54,0,1,0,0,75,11,Mar,15,11:58:00 AM,718,11,71,1,Partly Cloudy (>50% sun),29,48
B11,B,0,54,0,1,0,0,75,11,Mar,15,3:01:00 PM,901,15,69,1,Completly Cloudy (no Shadow),29,49
B12,B,1,54,0,1,0,0,75,11,Mar,15,11:05:00 AM,665,11,64,0,Partly Cloudy (>50% sun),29,63
B12,B,0,54,0,1,0,0,75,11,Mar,15,2:25:00 PM,865,14,72,0,Completly Cloudy (no Shadow),29,44
B13,B,0,55,0,0,0,1,75,11,Mar,15,12:13:00 PM,733,12,66,1,Cloudy (some shadow cast),29,48
B13,B,0,55,0,0,0,1,75,11,Mar,15,2:25:00 PM,865,14,72,0,Completly Cloudy (no Shadow),29,44
B14,B,0,55,0,0,0,1,75,11,Mar,15,12:16:00 PM,736,12,66,1,Cloudy (some shadow cast),29,48
B14,B,0,55,0,0,0,1,75,11,Mar,15,2:19:00 PM,859,4,72,0,Completly Cloudy (no Shadow),29,44
B15,B,0,55,0,0,0,1,75,11,Mar,15,12:08:00 PM,728,12,66,1,Cloudy (some shadow cast),29,48
B15,B,0,55,0,0,0,1,75,11,Mar,15,2:46:00 PM,886,14,72,0,Completly Cloudy (no Shadow),29,44
B16,B,2,56,0,0,1,0,75,11,Mar,15,11:45:00 AM,705,11,71,1,Partly Cloudy (>50% sun),29,48
